id,name,hex
0,Black,05131D
1,Blue,0055BF
2,Green,237841
3,Dark Turquoise,008F9B
4,Red,C91A09
5,Dark Pink,C870A0
10,Bright Green,4B9F4A
14,Yellow,F2CD37
15,White,FFFFFF
19,Tan,E4CD9E
25,Orange,FE8A18
26,Magenta,923978
27,Lime,BBE90B
28,Dark Tan,958A73
29,Bright Pink,E4ADC8
30,Medium Lavender,AC78BA
31,Lavender,E1D5ED
70,Reddish Brown,582A12
71,Light Bluish Gray,A0A5A9
72,Dark Bluish Gray,6C6E68
78,Light Nougat,F6D7B3
80,Metallic Silver,A5A9B4
82,Metallic Gold,DBAC34
84,Medium Nougat,AA7D55
85,Dark Purple,3F3691
92,Nougat,D09168
158,Yellowish Green,DFEEA5
179,Flat Silver,898788
191,Bright Light Orange,F8BB3D
212,Bright Light Blue,9FC3E9
226,Bright Light Yellow,FFF03A
272,Dark Blue,0A3463
288,Dark Green,184632
297,Pearl Gold,AA7F2E
308,Dark Brown,352100
320,Dark Red,720E0F
321,Dark Azure,078BC9
322,Medium Azure,36AEBF
323,Light Aqua,ADC3C0
326,Olive Green,9B9A5A
334,Chrome Gold,BBA53D
378,Sand Green,A0BCAC
379,Sand Blue,6074A1
484,Dark Orange,A95500
1000,Glow in Dark White,D9D9D9
1050,Coral,FF698F
1062,Vibrant Yellow,EBD800
1088,Medium Brown,755945
1089,Warm Tan,CCA373
1103,Pearl Titanium,3E3C39
1136,Reddish Orange,CA4C0B
1137,Sienna Brown,915C3C
1138,Umber Brown,5E3F33
1145,Ochre Yellow,DD9E47
1146,Warm Pink,F6B7BF
1147,Blue Violet,A3A9FF
