0,Black,05131D
1,Blue,0055BF
2,Green,237841
3,Dark Turquoise,008F9B
4,Red,C91A09
5,Dark Pink,C870A0
6,Brown,583927
7,Light Gray,9BA19D
8,Dark Gray,6D6E5C
9,Light Blue,B4D2E3
10,Bright Green,4B9F4A
11,Light Turquoise,55A5AF
12,Salmon,F2705E
13,Pink,FC97AC
14,Yellow,F2CD37
15,White,FFFFFF
17,Light Green,C2DAB8
18,Light Yellow,FBE696
19,Tan,E4CD9E
20,Light Violet,C9CAE2
21,Glow In Dark Opaque,D4D5C9
22,Purple,81007B
23,Dark Blue-Violet,2032B0
25,Orange,FE8A18
26,Magenta,923978
27,Lime,BBE90B
28,Dark Tan,958A73
29,Bright Pink,E4ADC8
30,Medium Lavender,AC78BA
31,Lavender,E1D5ED
32,Trans-Black IR Lens,635F52
33,Trans-Dark Blue,0020A0
34,Trans-Green,84B68D
35,Trans-Bright Green,D9E4A7
36,Trans-Red,C91A09
40,Trans-Brown,635F52
41,Trans-Light Blue,AEEFEC
42,Trans-Neon Green,F8F184
43,Trans-Very Lt Blue,C1DFF0
45,Trans-Dark Pink,DF6695
46,Trans-Yellow,F5CD2F
47,Trans-Clear,FCFCFC
52,Trans-Purple,A5A5CB
54,Trans-Neon Yellow,DAB000
57,Trans-Neon Orange,FF800D
60,Chrome Antique Brass,645A4C
61,Chrome Blue,6C96BF
62,Chrome Green,3CB371
63,Chrome Pink,AA4D8E
64,Chrome Black,1B2A34
68,Very Light Orange,F3CF9B
69,Light Purple,CD6298
70,Reddish Brown,582A12
71,Light Bluish Gray,A0A5A9
72,Dark Bluish Gray,6C6E68
73,Medium Blue,5A93DB
74,Medium Green,73DCA1
75,Speckle Black-Copper,05131D
76,Speckle DBGray-Silver,6C6E68
77,Light Pink,FECCCF
78,Light Nougat,F6D7B3
79,Milky White,FFFFFF
80,Metallic Silver,A5A9B4
81,Metallic Green,899B5F
82,Metallic Gold,DBAC34
84,Medium Nougat,AA7D55
85,Dark Purple,3F3691
86,Light Brown,7C503A
89,Royal Blue,4C61DB
92,Nougat,D09168
100,Light Salmon,FEBABD
110,Violet,4354A3
112,Medium Bluish Violet,6874CA
114,Glitter Trans-Dark Pink,DF6695
115,Medium Lime,C7D23C
117,Glitter Trans-Clear,FFFFFF
118,Aqua,B3D7D1
120,Light Lime,D9E4A7
125,Light Orange,F9BA61
129,Glitter Trans-Purple,A5A5CB
132,Speckle Black-Silver,05131D
133,Speckle Black-Gold,05131D
134,Copper,AE7A59
135,Pearl Light Gray,9CA3A8
137,Pearl Sand Blue,7988A1
142,Pearl Light Gold,DCBC81
143,Trans-Medium Blue,CFE2F7
148,Pearl Dark Gray,575857
150,Pearl Very Light Gray,ABADAC
151,Very Light Bluish Gray,E6E3E0
158,Yellowish Green,DFEEA5
178,Flat Dark Gold,B48455
179,Flat Silver,898788
182,Trans-Orange,F08F1C
183,Pearl White,F2F3F2
191,Bright Light Orange,F8BB3D
212,Bright Light Blue,9FC3E9
216,Rust,B31004
226,Bright Light Yellow,FFF03A
230,Trans-Pink,E4ADC8
232,Sky Blue,7DBFDD
236,Trans-Light Purple,96709F
272,Dark Blue,0A3463
288,Dark Green,184632
294,Glow In Dark Trans,BDC6AD
297,Pearl Gold,AA7F2E
308,Dark Brown,352100
313,Maersk Blue,3592C3
320,Dark Red,720E0F
321,Dark Azure,078BC9
322,Medium Azure,36AEBF
323,Light Aqua,ADC3C0
326,Olive Green,9B9A5A
334,Chrome Gold,BBA53D
335,Sand Red,D67572
351,Medium Dark Pink,F785B1
